Provider	InstrumentID	InstrumentType	QuoteType	Field	EffectiveAt	Value	Unit
TraderMade	USD/TRY	CurrencyPair	Price	close	2020-03-22T00:00:00.0000000+00:00	6.555	USD
TraderMade	USD/TRY	CurrencyPair	Price	close	2020-03-21T00:00:00.0000000+00:00	6.555	USD
TraderMade	USD/TRY	CurrencyPair	Price	close	2020-03-20T00:00:00.0000000+00:00	6.555	USD
TraderMade	USD/TRY	CurrencyPair	Price	close	2020-03-19T00:00:00.0000000+00:00	6.5436	USD
TraderMade	EUR/CAD	CurrencyPair	Price	close	2020-03-24T00:00:00.0000000+00:00	1.56016	EUR
TraderMade	EUR/CAD	CurrencyPair	Price	close	2020-03-23T00:00:00.0000000+00:00	1.55498	EUR
TraderMade	EUR/CAD	CurrencyPair	Price	close	2020-03-22T00:00:00.0000000+00:00	1.53441	EUR
TraderMade	EUR/CAD	CurrencyPair	Price	close	2020-03-21T00:00:00.0000000+00:00	1.53441	EUR
TraderMade	EUR/CAD	CurrencyPair	Price	close	2020-03-20T00:00:00.0000000+00:00	1.53441	EUR
TraderMade	EUR/CAD	CurrencyPair	Price	close	2020-03-19T00:00:00.0000000+00:00	1.55202	EUR
TraderMade	GBP/NZD	CurrencyPair	Price	close	2020-03-24T00:00:00.0000000+00:00	2.01731	GBP
TraderMade	GBP/NZD	CurrencyPair	Price	close	2020-03-23T00:00:00.0000000+00:00	2.01878	GBP
TraderMade	GBP/NZD	CurrencyPair	Price	close	2020-03-22T00:00:00.0000000+00:00	2.04388	GBP
TraderMade	GBP/NZD	CurrencyPair	Price	close	2020-03-21T00:00:00.0000000+00:00	2.04388	GBP
TraderMade	GBP/NZD	CurrencyPair	Price	close	2020-03-20T00:00:00.0000000+00:00	2.04388	GBP
TraderMade	GBP/NZD	CurrencyPair	Price	close	2020-03-19T00:00:00.0000000+00:00	2.02634	GBP
TraderMade	USD/CHF	CurrencyPair	Price	close	2020-03-24T00:00:00.0000000+00:00	0.98154	USD
TraderMade	USD/CHF	CurrencyPair	Price	close	2020-03-23T00:00:00.0000000+00:00	0.98481	USD
TraderMade	USD/CHF	CurrencyPair	Price	close	2020-03-22T00:00:00.0000000+00:00	0.98536	USD
TraderMade	USD/CHF	CurrencyPair	Price	close	2020-03-21T00:00:00.0000000+00:00	0.98536	USD
TraderMade	USD/CHF	CurrencyPair	Price	close	2020-03-20T00:00:00.0000000+00:00	0.98536	USD
TraderMade	USD/CHF	CurrencyPair	Price	close	2020-03-19T00:00:00.0000000+00:00	0.98598	USD
TraderMade	EUR/AUD	CurrencyPair	Price	close	2020-03-24T00:00:00.0000000+00:00	1.81021	EUR
TraderMade	EUR/AUD	CurrencyPair	Price	close	2020-03-23T00:00:00.0000000+00:00	1.84087	EUR
TraderMade	EUR/AUD	CurrencyPair	Price	close	2020-03-22T00:00:00.0000000+00:00	1.84251	EUR
TraderMade	EUR/AUD	CurrencyPair	Price	close	2020-03-21T00:00:00.0000000+00:00	1.84251	EUR
TraderMade	EUR/AUD	CurrencyPair	Price	close	2020-03-20T00:00:00.0000000+00:00	1.84251	EUR
TraderMade	EUR/AUD	CurrencyPair	Price	close	2020-03-19T00:00:00.0000000+00:00	1.86184	EUR
TraderMade	USD/PLN	CurrencyPair	Price	close	2020-03-24T00:00:00.0000000+00:00	4.26645	USD
TraderMade	USD/PLN	CurrencyPair	Price	close	2020-03-23T00:00:00.0000000+00:00	4.29595	USD
TraderMade	USD/PLN	CurrencyPair	Price	close	2020-03-22T00:00:00.0000000+00:00	4.24605	USD
TraderMade	USD/PLN	CurrencyPair	Price	close	2020-03-21T00:00:00.0000000+00:00	4.24605	USD
TraderMade	USD/PLN	CurrencyPair	Price	close	2020-03-20T00:00:00.0000000+00:00	4.24605	USD
TraderMade	USD/PLN	CurrencyPair	Price	close	2020-03-19T00:00:00.0000000+00:00	4.28235	USD
TraderMade	GBP/AUD	CurrencyPair	Price	close	2020-03-24T00:00:00.0000000+00:00	1.97305	GBP
TraderMade	GBP/AUD	CurrencyPair	Price	close	2020-03-23T00:00:00.0000000+00:00	1.98145	GBP
TraderMade	GBP/AUD	CurrencyPair	Price	close	2020-03-22T00:00:00.0000000+00:00	2.01078	GBP
TraderMade	GBP/AUD	CurrencyPair	Price	close	2020-03-21T00:00:00.0000000+00:00	2.01078	GBP
TraderMade	GBP/AUD	CurrencyPair	Price	close	2020-03-20T00:00:00.0000000+00:00	2.01078	GBP
TraderMade	GBP/AUD	CurrencyPair	Price	close	2020-03-19T00:00:00.0000000+00:00	1.99869	GBP
TraderMade	EUR/PLN	CurrencyPair	Price	close	2020-03-24T00:00:00.0000000+00:00	4.60245	EUR
TraderMade	EUR/PLN	CurrencyPair	Price	close	2020-03-23T00:00:00.0000000+00:00	4.6093	EUR
TraderMade	EUR/PLN	CurrencyPair	Price	close	2020-03-22T00:00:00.0000000+00:00	4.53105	EUR
TraderMade	EUR/PLN	CurrencyPair	Price	close	2020-03-21T00:00:00.0000000+00:00	4.53105	EUR
